dteday,yr,mnth,weekday,registered
2012-11-30,2012,November,Friday,5306
2012-12-01,2012,December,Saturday,4240
2012-12-02,2012,December,Sunday,3757
2012-12-03,2012,December,Monday,5679
2012-12-04,2012,December,Tuesday,6055
2012-12-05,2012,December,Wednesday,5398
2012-12-06,2012,December,Thursday,5035
2012-12-07,2012,December,Friday,4659
2012-12-08,2012,December,Saturday,4429
2012-12-09,2012,December,Sunday,2787
2012-12-10,2012,December,Monday,4841
2012-12-11,2012,December,Tuesday,5219
2012-12-12,2012,December,Wednesday,5009
2012-12-13,2012,December,Thursday,5107
2012-12-14,2012,December,Friday,5182
2012-12-15,2012,December,Saturday,4280
2012-12-16,2012,December,Sunday,3248
2012-12-17,2012,December,Monday,4373
2012-12-18,2012,December,Tuesday,5124
2012-12-19,2012,December,Wednesday,4934
2012-12-20,2012,December,Thursday,3814
2012-12-21,2012,December,Friday,3402
2012-12-22,2012,December,Saturday,1544
2012-12-23,2012,December,Sunday,1379
2012-12-24,2012,December,Monday,746
2012-12-25,2012,December,Tuesday,573
2012-12-26,2012,December,Wednesday,432
2012-12-27,2012,December,Thursday,1867
2012-12-28,2012,December,Friday,2451
2012-12-29,2012,December,Saturday,1182
2012-12-30,2012,December,Sunday,1432
2012-12-31,2012,December,Monday,2290
